BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8030	8030.013	9	25.996	3	5	1	2	4	35124	0	1000	1680	566	0	3	5	1	2	4	1570	1968	2284	2694	3026	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13030	13030.012	14	24.006	1	4	5	2	3	14523	0	1000	1720	382	0	1	4	5	2	3	1386	1724	2032	2470	2854	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18030	18030.027	19	22.028	1	4	5	2	3	14523	0	1000	2056	438	0	1	4	5	2	3	1442	1812	2270	2800	3228	6000	5000	1	1	1	1	1	1
1	4	0	5	1000	23030	23030.014	24	20.007	3	5	1	2	4	35124	0	1000	1528	478	0	3	5	1	2	4	1482	1776	2028	2512	2792	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28030	28030	29	20	3	2	4	5	1	32451	0	1000	1308	408	0	3	2	4	5	1	1412	1660	1996	2316	2470	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33030	33030.005	34	17.991	3	5	1	2	4	35124	0	1000	1776	446	0	3	5	1	2	4	1450	1804	2156	2662	2976	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38030	38030.003	39	15.992	3	5	1	2	4	35124	0	1000	1736	416	0	3	5	1	2	4	1420	1762	2106	2448	2894	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43030	43030.008	44	13.989	1	3	2	5	4	13254	0	1000	1754	452	0	1	3	2	5	4	1456	1764	2134	2694	2984	6000	5000	1	1	1	1	1	1
1	9	1	5	1000	48030	48030.013	49	12.007	3	5	1	2	4	35124	0	1000	1554	446	0	3	5	1	2	4	1450	1784	2046	2404	2806	6000	5000	1	1	1	1	1	1
1	10	1	5	1000	53030	53030.014	54	10.001	1	3	2	5	4	13254	0	1000	1706	348	0	1	3	2	5	4	1352	1694	1976	2370	2816	6000	5000	1	1	1	1	1	1
