BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	24	0	5	1000	138020.000	138020.868	139	20.868	1	3	2	5	4	13254	0	1000	2290.000	92.000	0	1	3	2	5	4	1096.000	2042.000	2328.000	3050.000	3268.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143020.867	144	20.867	3	2	4	5	1	32451	0	1000	1140.000	512.000	0	3	2	4	5	1	1580.000	1832.000	2078.000	2334.000	2626.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	0	5	1000	148020.000	148020.905	149	20.905	1	3	2	5	4	13254	0	1000	1280.000	48.000	0	1	3	2	5	4	1052.000	1322.000	1598.000	2000.000	2228.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	0	5	1000	153020.000	153020.869	154	20.869	3	5	1	2	4	35124	0	1000	1628.000	808.000	0	3	5	1	2	4	1812.000	2046.000	2358.000	2936.000	3306.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158020.878	159	20.878	1	3	2	5	4	13254	0	1000	0.000	608.000	1	1	3	2	3	4	1612.000	2146.000	2378.000	3530.000	3956.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	0	5	1000	163020.000	163020.847	164	20.847	1	4	5	2	3	14523	0	1000	1216.000	774.000	0	1	4	5	2	3	1778.000	2022.000	2276.000	2638.000	2882.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	1	5	1000	168020.000	168020.868	169	20.868	1	3	2	5	4	13254	0	1000	1888.000	522.000	0	1	3	2	5	4	1526.000	1972.000	2210.000	3050.000	3296.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173020.869	174	20.869	3	2	4	5	1	32451	0	1000	1146.000	718.000	0	3	2	4	5	1	1722.000	1948.000	2182.000	2514.000	2760.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	1	5	1000	178020.000	178020.867	179	20.867	3	5	1	2	4	35124	0	1000	1078.000	480.000	0	3	5	1	2	4	1484.000	1692.000	1942.000	2190.000	2438.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	1	5	1000	183020.000	183020.858	184	20.858	1	3	2	5	4	13254	0	1000	1858.000	500.000	0	1	3	2	5	4	1504.000	1926.000	2154.000	3028.000	3240.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	0	5	1000	188020.000	188020.851	189	20.851	1	3	2	5	4	13254	0	16000	1208.000	1308.000	1	1	3	2	4	5	2312.000	2500.000	2736.000	3014.000	3388.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	35	0	5	1000	208020.000	208020.890	209	20.890	1	3	2	5	4	13254	0	1000	1134.000	862.000	0	1	3	2	5	4	1866.000	2126.000	2330.000	2604.000	2822.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	36	0	5	1000	213020.000	213020.887	214	20.887	1	4	5	2	3	14523	0	1000	1384.000	636.000	0	1	4	5	2	3	1640.000	1906.000	2214.000	2682.000	2906.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	37	1	5	1000	218020.000	218020.889	219	20.889	3	2	4	5	1	32451	0	1000	1490.000	662.000	0	3	2	4	5	1	1666.000	1928.000	2168.000	2444.000	3086.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	38	0	5	1000	223020.000	223020.856	224	20.856	3	5	1	2	4	35124	0	1000	1242.000	594.000	0	3	5	1	2	4	1598.000	1852.000	2118.000	2348.000	2682.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	39	0	5	1000	228020.000	228020.892	229	20.892	3	2	4	5	1	32451	0	1000	1074.000	950.000	0	3	2	4	5	1	1954.000	2180.000	2406.000	2640.000	2906.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
