BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8020.992	9	20.992	3	5	1	2	4	35124	0	1000	0.000	1348.000	0	3	5	1	2	0	2352.000	2844.000	3246.000	3628.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.980	14	20.980	3	2	4	5	1	32451	0	1000	1690.000	668.000	0	3	2	4	5	1	1672.000	2052.000	2410.000	2770.000	3140.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18020.980	19	20.980	3	2	4	5	1	32451	0	1000	2320.000	500.000	0	3	2	4	5	1	1504.000	1896.000	2760.000	3194.000	3632.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23020.982	24	20.982	1	3	2	5	4	13254	0	1000	1684.000	534.000	0	1	3	2	5	4	1538.000	1916.000	2298.000	2658.000	3050.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.982	29	20.982	3	2	4	5	1	32451	0	1000	1662.000	460.000	0	3	2	4	5	1	1464.000	1832.000	2174.000	2540.000	2922.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	1	5	1000	33020.000	33020.979	34	20.979	1	3	2	5	4	13254	0	1000	1606.000	484.000	0	1	3	2	5	4	1488.000	1830.000	2218.000	2548.000	2900.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.993	39	20.993	1	3	2	5	4	13254	0	1000	1580.000	542.000	0	1	3	2	5	4	1546.000	1884.000	2258.000	2594.000	2956.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43021.007	44	21.007	1	4	5	2	3	14523	0	1000	1542.000	506.000	0	1	4	5	2	3	1510.000	1822.000	2182.000	2532.000	2896.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.969	49	20.969	1	3	2	5	4	13254	0	1000	1492.000	410.000	0	1	3	2	5	4	1414.000	1746.000	2098.000	2404.000	2742.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.964	54	20.964	1	3	2	5	4	13254	0	1000	1558.000	486.000	0	1	3	2	5	4	1490.000	1814.000	2196.000	2520.000	2874.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	0	5	1000	58020.000	58020.981	59	20.981	3	2	4	5	1	32451	0	1000	1654.000	510.000	0	3	2	4	5	1	1514.000	1886.000	2228.000	2594.000	2966.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	0	5	1000	63020.000	63020.991	64	20.991	3	2	4	5	1	32451	0	1000	1572.000	518.000	0	3	2	4	5	1	1522.000	1884.000	2218.000	2552.000	2926.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	0	5	1000	68020.000	68020.992	69	20.992	1	3	2	5	4	13254	0	1000	1588.000	570.000	0	1	3	2	5	4	1574.000	1920.000	2304.000	2644.000	2996.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.983	74	20.983	1	4	5	2	3	14523	0	1000	1518.000	534.000	0	1	4	5	2	3	1538.000	1840.000	2192.000	2520.000	2872.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.993	79	20.993	3	5	1	2	4	35124	0	1000	1538.000	556.000	0	3	5	1	2	4	1560.000	1876.000	2230.000	2572.000	2900.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	0	5	1000	83020.000	83021.006	84	21.006	1	3	2	5	4	13254	0	1000	1528.000	544.000	0	1	3	2	5	4	1548.000	1878.000	2238.000	2556.000	2908.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	0	5	1000	88020.000	88021.074	89	21.074	1	4	5	2	3	14523	0	16000	1602.000	508.000	0	1	4	5	2	3	1512.000	1856.000	2224.000	2572.000	2942.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	0	5	1000	108020.000	108021.019	109	21.019	1	4	5	2	3	14523	0	1000	1566.000	570.000	0	1	4	5	2	3	1574.000	1922.000	2286.000	2626.000	2966.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113020.993	114	20.993	3	2	4	5	1	32451	0	1000	1574.000	462.000	0	3	2	4	5	1	1466.000	1814.000	2160.000	2482.000	2848.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	1	5	1000	118020.000	118021.005	119	21.005	1	4	5	2	3	14523	0	1000	1256.000	416.000	0	1	4	5	2	3	1420.000	1694.000	1974.000	2250.000	2530.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	0	5	1000	123020.000	123020.998	124	20.998	1	4	5	2	3	14523	0	1000	1286.000	548.000	0	1	4	5	2	3	1552.000	1834.000	2112.000	2390.000	2682.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	0	5	1000	128020.000	128020.979	129	20.979	1	4	5	2	3	14523	0	1000	1352.000	676.000	0	1	4	5	2	3	1680.000	1964.000	2258.000	2562.000	2878.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	0	5	1000	133020.000	133020.984	134	20.984	1	3	2	5	4	13254	0	1000	1352.000	466.000	0	1	3	2	5	4	1470.000	1738.000	2052.000	2348.000	2656.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
