BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8022.008	9	18.005	1	3	2	5	4	13254	0	1000	996	720	0	1	3	2	5	4	1724	1996	2214	2430	2638	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13020	13020.011	14	14.001	1	3	2	5	4	13254	0	1000	1216	482	0	1	3	2	5	4	1486	1724	1942	2450	2618	6000	5000	1	1	1	1	1	1
1	3	1	5	1000	18020	18020.03	19	12.019	3	2	4	5	1	32451	0	1000	880	686	0	3	2	4	5	1	1690	1916	2092	2274	2496	6000	5000	1	1	1	1	1	1
1	4	0	5	1000	23020	23020.014	24	9.99	1	4	5	2	3	14523	0	1000	856	672	0	1	4	5	2	3	1676	1894	2078	2278	2470	6000	5000	1	1	1	1	1	1
1	5	0	5	1000	28020	28020.011	29	7.998	3	5	1	2	4	35124	0	1000	850	612	0	3	5	1	2	4	1616	1828	2020	2196	2398	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33020.012	34	8.002	3	5	1	2	4	35124	0	1000	938	644	0	3	5	1	2	4	1648	1860	2082	2286	2506	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38020.012	39	5.999	3	2	4	5	1	32451	0	1000	882	626	0	3	2	4	5	1	1630	1830	2016	2214	2430	6000	5000	1	1	1	1	1	1
1	8	1	5	1000	43020	43020.032	44	3.997	3	2	4	5	1	32451	0	1000	872	690	0	3	2	4	5	1	1694	1892	2080	2280	2496	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48020.069	49	2.058	3	5	1	2	4	35124	0	1000	866	632	0	3	5	1	2	4	1636	1844	2050	2232	2438	6000	5000	1	1	1	1	1	1
1	10	1	5	1000	53020	53020.037	54	0	1	4	5	2	3	14523	0	1000	820	800	0	1	4	5	2	3	1804	2014	2190	2388	2570	6000	5000	1	1	1	1	1	1
1	11	0	5	1000	58020	58020.024	58	998.011	3	2	4	5	1	32451	0	1000	880	656	0	3	2	4	5	1	1660	1876	2064	2258	2466	6000	5000	1	1	1	1	1	1
1	12	0	5	1000	63020	63020.032	63	998.006	1	3	2	5	4	13254	0	1000	820	654	0	1	3	2	5	4	1658	1870	2060	2232	2426	6000	5000	1	1	1	1	1	1
