BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8022	9	17.999	3	2	4	5	1	32451	0	1000	1444	742	1	3	1	2	4	5	1746	2138	2164	2482	2718	6000	5000	0	1	1	1	1	1
1	2	1	5	1000	13020	13021.988	14	15.986	3	5	1	2	4	35124	0	1000	1154	796	0	3	5	1	2	4	1800	2130	2398	2600	2850	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18020	18022.019	19	14.033	1	3	2	5	4	13254	0	1000	1348	462	0	1	3	2	5	4	1818	2012	2282	2520	2764	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23020.005	24	12.029	1	3	2	5	4	13254	0	1000	1514	538	0	1	3	2	5	4	1542	1784	2056	2254	2476	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28021.986	29	11.983	3	5	1	2	4	35124	0	1000	1494	428	0	3	5	1	2	4	1432	1640	1936	2172	2490	6000	5000	1	1	1	1	1	1
1	6	1	5	1000	33020	33021.996	34	10.007	3	5	1	2	4	35124	0	1000	2442	316	0	3	5	1	2	4	1320	1542	1764	2020	2292	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38021.997	39	7.997	3	2	4	5	1	32451	0	1000	0	424	0	3	2	4	5	1	1920	2150	2402	2612	2836	6000	5000	0	1	1	1	1	1
1	8	1	5	1000	43020	43022.003	44	6.014	1	4	5	2	3	14523	0	1000	0	304	0	1	4	5	2	3	2228	2496	2720	2968	3222	6000	5000	0	1	1	1	1	1
1	9	0	5	1000	48020	48021.997	49	4.011	3	2	4	5	1	32451	0	1000	0	446	0	3	2	4	5	1	1450	1700	1966	2206	2712	6000	5000	0	1	1	1	1	1
1	10	0	5	1000	53020	53020.001	54	0	3	5	1	2	4	35124	0	1000	1784	448	0	3	5	1	2	4	1874	2138	2386	2680	3040	6000	5000	1	1	1	1	1	1
1	11	0	5	1000	58020	58020.012	59	0	3	2	4	5	1	32451	0	1000	1506	352	0	3	2	4	5	1	1678	1924	2222	2498	2748	6000	5000	1	1	1	1	1	1
1	12	0	5	1000	63020	63022.01	64	0	1	4	5	2	3	14523	0	1000	1264	364	0	1	4	5	2	3	1370	1654	1894	2150	2424	6000	5000	1	1	1	1	1	1
