BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8020.011	9	16.025	1	3	2	5	4	13254	0	1000	1224	388	0	1	3	2	5	4	1392	1666	1948	2174	2422	6000	5000	1	1	1	1	1	1
1	2	0	5	1000	13020	13021.997	14	15.983	1	3	2	5	4	13254	0	1000	1564	388	0	1	3	2	5	4	1392	1754	2110	2438	2724	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18020	18021.998	19	14	1	3	2	5	4	13254	0	1000	1284	306	0	1	3	2	5	4	1310	1606	1854	2120	2376	6000	5000	1	1	1	1	1	1
1	4	0	5	1000	23020	23020.007	24	10.026	3	2	4	5	1	32451	0	1000	1254	330	0	3	2	4	5	1	1334	1586	1840	2084	2360	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28021.984	29	11.99	3	5	1	2	4	35124	0	1000	1196	296	0	3	5	1	2	4	1300	1528	1788	2056	2298	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33022.011	34	10.025	1	3	2	5	4	13254	0	1000	1228	288	0	1	3	2	5	4	1292	1548	1792	2050	2324	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38021.981	39	7.985	1	4	5	2	3	14523	0	1000	1256	304	0	1	4	5	2	3	1308	1568	1850	2132	2416	6000	5000	1	1	1	1	1	1
1	8	1	5	1000	43020	43021.987	44	6	3	5	1	2	4	35124	0	1000	1160	240	0	3	5	1	2	4	1244	1486	1742	2018	2248	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48021.984	49	3.998	3	5	1	2	4	35124	0	1000	1252	254	0	3	5	1	2	4	1258	1532	1812	2114	2346	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53021.993	54	2.005	1	3	2	5	4	13254	0	1000	1206	238	0	1	3	2	5	4	1242	1486	1758	2012	2284	6000	5000	1	1	1	1	1	1
