BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	23	1	5	1000	133020.000	133021.016	134	21.016	3	5	1	2	4	35124	0	1000	1352.000	402.000	0	3	5	1	2	4	1406.000	1668.000	1958.000	2272.000	2602.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138021.012	139	21.012	1	4	5	2	3	14523	0	1000	1466.000	422.000	0	1	4	5	2	3	1426.000	1758.000	2084.000	2430.000	2746.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143021.008	144	21.008	3	2	4	5	1	32451	0	1000	1456.000	438.000	0	3	2	4	5	1	1442.000	1734.000	2050.000	2356.000	2648.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.995	149	20.995	1	3	2	5	4	13254	0	1000	1362.000	440.000	0	1	3	2	5	4	1444.000	1764.000	2058.000	2352.000	2654.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	1	5	1000	153020.000	153020.986	154	20.986	3	5	1	2	4	35124	0	1000	1418.000	404.000	0	3	5	1	2	4	1408.000	1682.000	2026.000	2348.000	2662.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158020.998	159	20.998	1	4	5	2	3	14523	0	1000	1448.000	408.000	0	1	4	5	2	3	1412.000	1770.000	2094.000	2404.000	2704.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	1	5	1000	163020.000	163020.996	164	20.996	1	4	5	2	3	14523	0	1000	1432.000	376.000	0	1	4	5	2	3	1380.000	1702.000	2042.000	2350.000	2660.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	0	5	1000	168020.000	168020.985	169	20.985	3	5	1	2	4	35124	0	1000	1362.000	436.000	0	3	5	1	2	4	1440.000	1718.000	2038.000	2336.000	2650.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173021.000	174	21.000	3	5	1	2	4	35124	0	1000	1472.000	478.000	0	3	5	1	2	4	1482.000	1784.000	2126.000	2440.000	2786.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	1	5	1000	178020.000	178021.018	179	21.018	3	5	1	2	4	35124	0	1000	1474.000	454.000	0	3	5	1	2	4	1458.000	1854.000	2152.000	2456.000	2762.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
