BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.928	9	20.928	1	3	2	5	4	13254	0	1000	0.000	1126.000	1	1	2	2	5	0	2130.000	2584.000	3212.000	3702.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.942	14	20.942	3	2	4	5	1	32451	0	1000	1784.000	456.000	0	3	2	4	5	1	1460.000	1804.000	2306.000	2694.000	3046.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18020.899	19	20.899	1	4	5	2	3	14523	0	1000	1782.000	174.000	0	1	4	5	2	3	1178.000	1608.000	2042.000	2428.000	2786.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23020.930	24	20.930	3	2	4	5	1	32451	0	1000	1666.000	72.000	0	3	2	4	5	1	1076.000	1522.000	1880.000	2200.000	2536.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.932	29	20.932	3	5	1	2	4	35124	0	1000	1464.000	424.000	0	3	5	1	2	4	1428.000	1748.000	2064.000	2402.000	2712.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.930	34	20.930	3	2	4	5	1	32451	0	1000	1536.000	456.000	0	3	2	4	5	1	1460.000	1764.000	2126.000	2444.000	2770.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38020.935	39	20.935	1	4	5	2	3	14523	0	1000	1714.000	398.000	0	1	4	5	2	3	1402.000	1784.000	2118.000	2480.000	2880.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43020.950	44	20.950	3	5	1	2	4	35124	0	1000	1634.000	482.000	0	3	5	1	2	4	1486.000	1806.000	2168.000	2520.000	2882.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.932	49	20.932	3	2	4	5	1	32451	0	1000	1522.000	404.000	0	3	2	4	5	1	1408.000	1702.000	2066.000	2356.000	2696.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	1	5	1000	53020.000	53020.930	54	20.930	3	5	1	2	4	35124	0	1000	1418.000	366.000	0	3	5	1	2	4	1370.000	1638.000	1952.000	2270.000	2570.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	0	5	1000	58020.000	58020.930	59	20.930	1	4	5	2	3	14523	0	1000	1506.000	324.000	0	1	4	5	2	3	1328.000	1674.000	1980.000	2304.000	2652.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	0	5	1000	63020.000	63020.952	64	20.952	1	4	5	2	3	14523	0	1000	1518.000	464.000	0	1	4	5	2	3	1468.000	1830.000	2120.000	2468.000	2814.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	1	5	1000	68020.000	68020.952	69	20.952	1	3	2	5	4	13254	0	1000	1606.000	416.000	0	1	3	2	5	4	1420.000	1784.000	2146.000	2436.000	2828.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.932	74	20.932	3	5	1	2	4	35124	0	1000	1450.000	382.000	0	3	5	1	2	4	1386.000	1678.000	2012.000	2294.000	2644.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.921	79	20.921	1	4	5	2	3	14523	0	1000	1430.000	346.000	0	1	4	5	2	3	1350.000	1682.000	1970.000	2284.000	2604.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	0	5	1000	83020.000	83020.933	84	20.933	1	4	5	2	3	14523	0	1000	1522.000	358.000	0	1	4	5	2	3	1362.000	1710.000	2006.000	2342.000	2692.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	0	5	1000	88020.000	88021.041	89	21.041	1	3	2	5	4	13254	0	16000	1494.000	378.000	0	1	3	2	5	4	1382.000	1750.000	2068.000	2358.000	2680.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	0	5	1000	108020.000	108020.941	109	20.941	1	3	2	5	4	13254	0	1000	1660.000	530.000	0	1	3	2	5	4	1534.000	1966.000	2308.000	2624.000	2978.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	1	5	1000	113020.000	113020.932	114	20.932	1	4	5	2	3	14523	0	1000	1478.000	536.000	0	1	4	5	2	3	1540.000	1908.000	2204.000	2510.000	2844.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	1	5	1000	118020.000	118020.955	119	20.955	3	5	1	2	4	35124	0	1000	1504.000	622.000	0	3	5	1	2	4	1626.000	1936.000	2242.000	2584.000	2924.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	0	5	1000	123020.000	123020.917	124	20.917	3	5	1	2	4	35124	0	1000	1442.000	556.000	0	3	5	1	2	4	1560.000	1868.000	2156.000	2488.000	2830.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	1	5	1000	128020.000	128020.943	129	20.943	1	4	5	2	3	14523	0	1000	1450.000	390.000	0	1	4	5	2	3	1394.000	1720.000	2022.000	2328.000	2666.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	1	5	1000	133020.000	133020.944	134	20.944	3	2	4	5	1	32451	0	1000	1514.000	562.000	0	3	2	4	5	1	1566.000	1880.000	2248.000	2564.000	2880.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138020.953	139	20.953	1	3	2	5	4	13254	0	1000	1692.000	472.000	0	1	3	2	5	4	1476.000	1926.000	2286.000	2602.000	2980.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143020.930	144	20.930	3	5	1	2	4	35124	0	1000	1586.000	566.000	0	3	5	1	2	4	1570.000	1894.000	2244.000	2612.000	2972.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.922	149	20.922	3	5	1	2	4	35124	0	1000	1506.000	792.000	0	3	5	1	2	4	1796.000	2094.000	2422.000	2782.000	3130.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	0	5	1000	153020.000	153020.929	154	20.929	1	3	2	5	4	13254	0	1000	1698.000	486.000	0	1	3	2	5	4	1490.000	1882.000	2240.000	2594.000	2996.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	0	5	1000	158020.000	158020.916	159	20.916	3	5	1	2	4	35124	0	1000	1556.000	758.000	0	3	5	1	2	4	1762.000	2082.000	2400.000	2758.000	3132.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	1	5	1000	163020.000	163020.919	164	20.919	3	2	4	5	1	32451	0	1000	1510.000	634.000	0	3	2	4	5	1	1638.000	1978.000	2318.000	2628.000	2982.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	0	5	1000	168020.000	168020.917	169	20.917	3	5	1	2	4	35124	0	1000	1544.000	546.000	0	3	5	1	2	4	1550.000	1864.000	2204.000	2560.000	2922.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173020.917	174	20.917	1	4	5	2	3	14523	0	1000	1564.000	510.000	0	1	4	5	2	3	1514.000	1856.000	2170.000	2550.000	2904.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	1	5	1000	178020.000	178020.947	179	20.947	3	2	4	5	1	32451	0	1000	1454.000	534.000	0	3	2	4	5	1	1538.000	1838.000	2184.000	2480.000	2800.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	1	5	1000	183020.000	183020.921	184	20.921	1	4	5	2	3	14523	0	1000	1536.000	394.000	0	1	4	5	2	3	1398.000	1734.000	2028.000	2380.000	2750.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	0	5	1000	188020.000	188020.930	189	20.930	3	2	4	5	1	32451	0	16000	1476.000	510.000	0	3	2	4	5	1	1514.000	1808.000	2170.000	2468.000	2780.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
