BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8020.973	9	20.973	1	3	2	5	4	13254	0	1000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.957	14	20.957	1	3	2	5	4	13254	0	1000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8020.976	9	20.976	1	3	2	5	4	13254	0	1000	0.000	708.000	0	1	3	2	5	4	1712.000	2288.000	2792.000	3340.000	3802.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.969	14	20.969	1	3	2	5	4	13254	0	1000	2124.000	580.000	0	1	3	2	5	4	1584.000	2070.000	2518.000	3068.000	3446.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18020.971	19	20.971	1	3	2	5	4	13254	0	1000	2070.000	418.000	0	1	3	2	5	4	1422.000	1906.000	2348.000	2800.000	3194.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23020.981	24	20.981	3	5	1	2	4	35124	0	1000	0.000	402.000	0	3	5	1	2	4	1406.000	1870.000	2310.000	2746.000	3152.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.979	29	20.979	3	2	4	5	1	32451	0	1000	1586.000	474.000	1	3	2	4	3	5	1478.000	1890.000	2324.000	2486.000	2674.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	1	5	1000	33020.000	33021.079	34	21.079	1	3	2	5	4	13254	0	1000	1748.000	392.000	0	1	3	2	5	4	1396.000	1828.000	2176.000	2532.000	2806.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38020.970	39	20.970	3	2	4	5	1	32451	0	1000	1568.000	448.000	0	3	2	4	5	1	1452.000	1762.000	2188.000	2522.000	2760.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43020.969	44	20.969	3	2	4	5	1	32451	0	1000	1690.000	546.000	0	3	2	4	5	1	1550.000	1894.000	2280.000	2630.000	3014.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.965	49	20.965	1	4	5	2	3	14523	0	1000	1788.000	296.000	0	1	4	5	2	3	1300.000	1686.000	2018.000	2458.000	2840.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.990	54	20.990	1	4	5	2	3	14523	0	1000	2004.000	302.000	0	1	4	5	2	3	1306.000	1700.000	2050.000	2542.000	3066.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58020.970	59	20.970	1	3	2	5	4	13254	0	1000	1640.000	320.000	0	1	3	2	5	4	1324.000	1696.000	1956.000	2366.000	2698.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	0	5	1000	63020.000	63021.005	64	21.005	1	4	5	2	3	14523	0	1000	1878.000	300.000	0	1	4	5	2	3	1304.000	1708.000	1994.000	2568.000	2964.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	0	5	1000	68020.000	68021.006	69	21.006	1	4	5	2	3	14523	0	1000	1888.000	402.000	0	1	4	5	2	3	1406.000	1784.000	2060.000	2776.000	3068.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	0	5	1000	73020.000	73020.968	74	20.968	1	3	2	5	4	13254	0	1000	2120.000	376.000	0	1	3	2	5	4	1380.000	1770.000	2108.000	2886.000	3244.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.970	79	20.970	3	2	4	5	1	32451	0	1000	1478.000	372.000	0	3	2	4	5	1	1376.000	1664.000	2018.000	2298.000	2610.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	0	5	1000	83020.000	83021.052	84	21.052	3	5	1	2	4	35124	0	1000	1776.000	266.000	0	3	5	1	2	4	1270.000	1520.000	1866.000	2326.000	2830.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	1	5	1000	88020.000	88020.977	89	20.977	1	4	5	2	3	14523	0	16000	1640.000	454.000	0	1	4	5	2	3	1458.000	1830.000	2132.000	2528.000	2878.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
