BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8020.014	9	16.012	1	4	5	2	3	14523	0	1000	2108	666	0	1	4	5	2	3	1670	2168	2564	3076	3560	6000	5000	1	1	1	1	1	1
1	2	0	5	1000	13020	13020.025	14	14	3	5	1	2	4	35124	0	1000	2180	548	0	3	5	1	2	4	1552	1924	2748	3204	3594	6000	5000	1	1	1	1	1	1
1	3	1	5	1000	18020	18022.03	19	13.98	1	3	2	5	4	13254	0	1000	2048	566	0	1	3	2	5	4	1570	2032	2514	2916	3436	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23021.999	24	13.994	1	3	2	5	4	13254	0	1000	1920	462	0	1	3	2	5	4	1466	1884	2338	2738	3240	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28020.001	29	9.996	1	4	5	2	3	14523	0	1000	0	550	0	1	4	5	2	3	1554	2016	2462	2948	3848	6000	5000	0	1	1	1	1	1
1	6	1	5	1000	33020	33020.023	34	7.994	1	3	2	5	4	13254	0	1000	1930	586	0	1	3	2	5	4	1590	1994	2462	2902	3366	6000	5000	1	1	1	1	1	1
1	7	0	5	1000	38020	38022.001	39	7.995	3	5	1	2	4	35124	0	1000	1908	648	0	3	5	1	2	4	1652	2068	2514	2988	3384	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43020	43020.003	44	4.001	1	3	2	5	4	13254	0	1000	2002	452	0	1	3	2	5	4	1456	1924	2418	2810	3278	6000	5000	1	1	1	1	1	1
1	9	1	5	1000	48020	48020.002	49	2	1	3	2	5	4	13254	0	1000	2030	572	0	1	3	2	5	4	1576	2068	2516	2992	3460	6000	5000	1	1	1	1	1	1
1	10	1	5	1000	53020	53020.003	54	0	3	5	1	2	4	35124	0	1000	1888	526	0	3	5	1	2	4	1530	1954	2400	2844	3266	6000	5000	1	1	1	1	1	1
1	11	1	5	1000	58020	58022.006	59	2.012	3	5	1	2	4	35124	0	1000	1708	476	0	3	5	1	2	4	1480	1850	2252	2676	3082	6000	5000	1	1	1	1	1	1
1	12	1	5	1000	63020	63020.003	63	998.009	3	2	4	5	1	32451	0	1000	1822	400	0	3	2	4	5	1	1404	1790	2174	2576	3016	6000	5000	1	1	1	1	1	1
1	13	1	5	1000	68020	68020.015	68	996.026	1	4	5	2	3	14523	0	1000	2004	448	0	1	4	5	2	3	1452	1938	2372	2840	3292	6000	5000	1	1	1	1	1	1
1	14	0	5	1000	73020	73020.018	73	993.917	1	4	5	2	3	14523	0	1000	2032	484	0	1	4	5	2	3	1488	1904	2318	2886	3328	6000	5000	1	1	1	1	1	1
1	15	1	5	1000	78020	78020.024	78	992.007	1	3	2	5	4	13254	0	1000	2052	484	0	1	3	2	5	4	1488	1944	2394	2904	3384	6000	5000	1	1	1	1	1	1
1	16	0	5	1000	83020	83020.004	83	989.988	3	2	4	5	1	32451	0	1000	2042	628	0	3	2	4	5	1	1632	2102	2574	3012	3426	6000	5000	1	1	1	1	1	1
1	17	1	5	1000	88020	88020.004	88	989.978	1	3	2	5	4	13254	0	16000	2006	568	0	1	3	2	5	4	1572	2030	2484	2898	3380	6000	5000	1	1	1	1	1	1
1	18	1	5	1000	108020	108021.991	108	983.988	1	3	2	5	4	13254	0	1000	2010	838	0	1	3	2	5	4	1842	2272	2730	3182	3682	6000	5000	1	1	1	1	1	1
1	19	0	5	1000	113020	113021.999	113	982.021	1	3	2	5	4	13254	0	1000	2062	490	0	1	3	2	5	4	1494	1932	2412	2856	3390	6000	5000	1	1	1	1	1	1
1	20	1	5	1000	118020	118020.035	118	980.049	3	5	1	2	4	35124	0	1000	1816	454	0	3	5	1	2	4	1458	1838	2244	2686	3078	6000	5000	1	1	1	1	1	1
1	21	0	5	1000	123020	123021.991	123	979.995	1	3	2	5	4	13254	0	1000	1924	502	0	1	3	2	5	4	1506	1932	2412	2792	3250	6000	5000	1	1	1	1	1	1
1	22	0	5	1000	128020	128021.992	128	978	1	3	2	5	4	13254	0	1000	1818	534	0	1	3	2	5	4	1538	1908	2354	2748	3154	6000	5000	1	1	1	1	1	1
1	23	0	5	1000	133020	133020.005	133	974.012	3	2	4	5	1	32451	0	1000	1952	506	0	3	2	4	5	1	1510	1950	2372	2804	3208	6000	5000	1	1	1	1	1	1
1	24	1	5	1000	138020	138020.022	138	972.05	3	5	1	2	4	35124	0	1000	2144	772	0	3	5	1	2	4	1776	2262	2694	3212	3708	6000	5000	1	1	1	1	1	1
1	25	1	5	1000	143020	143020.042	143	970.053	1	4	5	2	3	14523	0	1000	2048	614	0	1	4	5	2	3	1618	2090	2562	3082	3532	6000	5000	1	1	1	1	1	1
1	26	1	5	1000	148020	148021.992	148	970	1	4	5	2	3	14523	0	1000	1848	490	0	1	4	5	2	3	1494	1936	2330	2770	3180	6000	5000	1	1	1	1	1	1
1	27	1	5	1000	153020	153020.003	153	966.014	3	5	1	2	4	35124	0	1000	2022	596	0	3	5	1	2	4	1600	2022	2478	2998	3488	6000	5000	1	1	1	1	1	1
1	28	0	5	1000	158020	158020.023	158	966.028	3	2	4	5	1	32451	0	1000	1936	700	0	3	2	4	5	1	1704	2112	2570	3016	3416	6000	5000	1	1	1	1	1	1
1	29	0	5	1000	163020	163020.001	163	963.986	1	4	5	2	3	14523	0	1000	1934	732	0	1	4	5	2	3	1736	2206	2644	3082	3524	6000	5000	1	1	1	1	1	1
1	30	0	5	1000	168020	168021.999	168	963.999	3	5	1	2	4	35124	0	1000	1938	898	0	3	5	1	2	4	1902	2348	2770	3242	3684	6000	5000	1	1	1	1	1	1
1	31	1	5	1000	173020	173020.005	173	960.002	3	2	4	5	1	32451	0	1000	0	1154	0	3	2	4	5	1	2158	2620	3052	3476	3934	6000	5000	0	1	1	1	1	1
1	32	0	5	1000	178020	178020.02	178	958.002	3	5	1	2	4	35124	0	1000	1976	934	0	3	5	1	2	4	1938	2356	2834	3314	3770	6000	5000	1	1	1	1	1	1
1	33	0	5	1000	183020	183020.007	183	955.983	3	5	1	2	4	35124	0	1000	1958	736	0	3	5	1	2	4	1740	2136	2570	3036	3534	6000	5000	1	1	1	1	1	1
1	34	0	5	1000	188020	188021.992	188	955.992	3	2	4	5	1	32451	0	16000	2032	754	0	3	2	4	5	1	1758	2200	2652	3142	3564	6000	5000	1	1	1	1	1	1
1	35	0	5	1000	208020	208020.025	208	948.012	3	2	4	5	1	32451	0	1000	2080	676	0	3	2	4	5	1	1680	2140	2624	3090	3572	6000	5000	1	1	1	1	1	1
1	36	1	5	1000	213020	213020.003	213	946.011	3	2	4	5	1	32451	0	1000	1940	1026	0	3	2	4	5	1	2030	2430	2870	3306	3726	6000	5000	1	1	1	1	1	1
1	37	0	5	1000	218020	218020.029	218	945.976	1	3	2	5	4	13254	0	1000	1980	474	0	1	3	2	5	4	1478	1896	2368	2822	3322	6000	5000	1	1	1	1	1	1
1	38	1	5	1000	223020	223021.986	223	943.993	1	4	5	2	3	14523	0	1000	1852	532	0	1	4	5	2	3	1536	2002	2434	2860	3266	6000	5000	1	1	1	1	1	1
1	39	0	5	1000	228020	228020.247	228	940.265	1	3	2	5	4	13254	0	1000	1864	478	0	1	3	2	5	4	1482	1910	2338	2706	3160	6000	5000	1	1	1	1	1	1
1	40	0	5	1000	233020	233021.986	233	942.007	1	4	5	2	3	14523	0	1000	1820	564	0	1	4	5	2	3	1568	1992	2418	2834	3234	6000	5000	1	1	1	1	1	1
1	41	0	5	1000	238020	238021.98	238	940.003	1	4	5	2	3	14523	0	1000	1578	696	1	1	4	5	2	2	1700	2150	2628	3046	3078	6000	5000	0	1	1	1	1	1
1	42	0	5	1000	243020	243021.996	243	938.017	3	2	4	5	1	32451	0	1000	2016	728	0	3	2	4	5	1	1732	2190	2620	3052	3482	6000	5000	1	1	1	1	1	1
1	43	0	5	1000	248020	248021.983	248	936.005	3	2	4	5	1	32451	0	1000	2016	526	0	3	2	4	5	1	1530	1964	2422	2876	3328	6000	5000	1	1	1	1	1	1
1	44	1	5	1000	253020	253021.981	253	933.999	1	4	5	2	3	14523	0	1000	1826	480	0	1	4	5	2	3	1484	1904	2278	2732	3166	6000	5000	1	1	1	1	1	1
1	45	0	5	1000	258020	258021.984	258	931.985	3	2	4	5	1	32451	0	1000	1928	644	0	3	2	4	5	1	1648	2050	2476	2908	3374	6000	5000	1	1	1	1	1	1
1	46	0	5	1000	263020	263021.98	263	929.997	1	3	2	5	4	13254	0	1000	1980	638	0	1	3	2	5	4	1642	2084	2534	2968	3462	6000	5000	1	1	1	1	1	1
1	47	1	5	1000	268020	268021.983	268	929.98	3	2	4	5	1	32451	0	1000	2038	672	0	3	2	4	5	1	1676	2138	2580	3038	3482	6000	5000	1	1	1	1	1	1
1	48	0	5	1000	273020	273021.983	273	928.003	1	4	5	2	3	14523	0	1000	2038	540	0	1	4	5	2	3	1544	2016	2470	2918	3426	6000	5000	1	1	1	1	1	1
1	49	1	5	1000	278020	278021.981	278	925.999	1	4	5	2	3	14523	0	1000	2012	940	0	1	4	5	2	3	1944	2424	2838	3292	3784	6000	5000	1	1	1	1	1	1
1	50	1	5	1000	283020	283021.985	283	923.995	3	2	4	5	1	32451	0	1000	1998	630	0	3	2	4	5	1	1634	2050	2494	2918	3382	6000	5000	1	1	1	1	1	1
1	51	1	5	1000	288020	288021.994	288	922.017	3	2	4	5	1	32451	0	16000	1992	502	0	3	2	4	5	1	1506	1964	2374	2808	3256	6000	5000	1	1	1	1	1	1
1	52	1	5	1000	308020	308021.981	308	915.991	3	2	4	5	1	32451	0	1000	0	934	0	3	2	4	5	1	1938	2440	2904	3350	3814	6000	5000	0	1	1	1	1	1
1	53	1	5	1000	313020	313021.99	313	914.004	3	5	1	2	4	35124	0	1000	2000	848	0	3	5	1	2	4	1852	2270	2746	3236	3686	6000	5000	1	1	1	1	1	1
1	54	1	5	1000	318020	318021.991	318	912.002	1	3	2	5	4	13254	0	1000	2140	694	0	1	3	2	5	4	1698	2168	2636	3122	3658	6000	5000	1	1	1	1	1	1
1	55	1	5	1000	323020	323020.002	323	908.013	3	2	4	5	1	32451	0	1000	1892	924	0	3	2	4	5	1	1928	2316	2794	3196	3614	6000	5000	1	1	1	1	1	1
1	56	0	5	1000	328020	328021.99	328	907.987	3	2	4	5	1	32451	0	1000	1982	598	0	3	2	4	5	1	1602	2038	2492	2916	3370	6000	5000	1	1	1	1	1	1
1	57	0	5	1000	333020	333020.004	333	904.008	3	5	1	2	4	35124	0	1000	1858	664	0	3	5	1	2	4	1668	2078	2530	2988	3390	6000	5000	1	1	1	1	1	1
1	58	1	5	1000	338020	338021.99	338	905.99	3	5	1	2	4	35124	0	1000	1828	678	0	3	5	1	2	4	1682	2052	2462	2890	3346	6000	5000	1	1	1	1	1	1
1	59	0	5	1000	343020	343021.991	343	903.997	1	4	5	2	3	14523	0	1000	1924	490	0	1	4	5	2	3	1494	1946	2384	2842	3282	6000	5000	1	1	1	1	1	1
1	60	1	5	1000	348020	348020.002	348	899.98	3	2	4	5	1	32451	0	1000	1896	572	0	3	2	4	5	1	1576	2006	2430	2846	3262	6000	5000	1	1	1	1	1	1
1	61	1	5	1000	353020	353020.002	353	897.996	1	3	2	5	4	13254	0	1000	1866	418	0	1	3	2	5	4	1422	1818	2226	2652	3110	6000	5000	1	1	1	1	1	1
1	62	0	5	1000	358020	358021.974	358	897.974	1	4	5	2	3	14523	0	1000	1962	518	0	1	4	5	2	3	1522	1936	2392	2856	3322	6000	5000	1	1	1	1	1	1
1	63	0	5	1000	363020	363021.975	363	895.961	1	3	2	5	4	13254	0	1000	1832	444	0	1	3	2	5	4	1448	1844	2290	2686	3138	6000	5000	1	1	1	1	1	1
1	64	0	5	1000	368020	368020.065	368	892.076	3	5	1	2	4	35124	0	1000	2148	640	0	3	5	1	2	4	1644	2112	2576	3118	3598	6000	5000	1	1	1	1	1	1
1	65	0	5	1000	373020	373021.988	373	893.992	1	4	5	2	3	14523	0	1000	1844	744	0	1	4	5	2	3	1748	2160	2554	3012	3454	6000	5000	1	1	1	1	1	1
1	66	1	5	1000	378020	378022.009	378	892.017	3	5	1	2	4	35124	0	1000	1782	518	0	3	5	1	2	4	1522	1914	2308	2742	3166	6000	5000	1	1	1	1	1	1
1	67	0	5	1000	383020	383020.021	383	888.011	3	5	1	2	4	35124	0	1000	1930	460	0	3	5	1	2	4	1464	1864	2292	2744	3194	6000	5000	1	1	1	1	1	1
1	68	1	5	1000	388020	388021.992	388	887.982	1	4	5	2	3	14523	0	16000	1856	444	0	1	4	5	2	3	1448	1874	2300	2706	3146	6000	5000	1	1	1	1	1	1
2	1	0	5	1000	8020	8020.006	9	16.022	3	5	1	2	4	35124	0	1000	1962	930	0	3	5	1	2	4	1934	2406	2854	3274	3722	6000	5000	1	1	1	1	1	1
2	2	1	5	1000	13020	13022.009	14	16.013	1	4	5	2	3	14523	0	1000	1932	590	0	1	4	5	2	3	1594	2132	2532	2974	3424	6000	5000	1	1	1	1	1	1
2	3	0	5	1000	18020	18021.998	19	14.004	3	2	4	5	1	32451	0	1000	0	872	0	3	2	4	5	0	1876	2600	3108	3602	0	6000	5000	0	1	1	1	1	1
2	4	1	5	1000	23020	23020.021	24	10.04	1	4	5	2	3	14523	0	1000	1914	698	0	1	4	5	2	3	1702	2156	2600	3004	3462	6000	5000	1	1	1	1	1	1
2	5	1	5	1000	28020	28020.014	29	7.996	1	4	5	2	3	14523	0	1000	1786	514	0	1	4	5	2	3	1518	1914	2316	2742	3152	6000	5000	1	1	1	1	1	1
2	6	1	5	1000	33020	33020.005	34	8.005	3	2	4	5	1	32451	0	1000	1786	514	0	3	2	4	5	1	1518	1848	2272	2664	3030	6000	5000	1	1	1	1	1	1
2	7	1	5	1000	38020	38020.018	39	5.983	3	5	1	2	4	35124	0	1000	1732	566	0	3	5	1	2	4	1570	1944	2322	2758	3150	6000	5000	1	1	1	1	1	1
2	8	0	5	1000	43020	43020.036	44	4.019	1	3	2	5	4	13254	0	1000	1756	490	0	1	3	2	5	4	1494	1862	2312	2680	3094	6000	5000	1	1	1	1	1	1
2	9	1	5	1000	48020	48020.014	49	1.995	3	2	4	5	1	32451	0	1000	1818	546	0	3	2	4	5	1	1550	1926	2350	2742	3122	6000	5000	1	1	1	1	1	1
