BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.854	9	20.854	1	3	2	5	4	13254	0	1000	1050.000	612.000	0	1	3	2	5	4	1616.000	1824.000	2006.000	2204.000	2422.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.863	14	20.863	3	5	1	2	4	35124	0	1000	944.000	344.000	0	3	5	1	2	4	1348.000	1464.000	1686.000	1880.000	2038.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	1	5	1000	18020.000	18020.867	19	20.867	3	5	1	2	4	35124	0	1000	942.000	348.000	0	3	5	1	2	4	1352.000	1496.000	1728.000	1906.000	2082.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23020.864	24	20.864	3	2	4	5	1	32451	0	1000	968.000	356.000	0	3	2	4	5	1	1360.000	1538.000	1678.000	1874.000	2102.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.855	29	20.855	1	3	2	5	4	13254	0	1000	916.000	420.000	0	1	3	2	5	4	1424.000	1594.000	1766.000	1950.000	2140.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.867	34	20.867	3	2	4	5	1	32451	0	1000	1006.000	438.000	0	3	2	4	5	1	1442.000	1630.000	1766.000	1996.000	2146.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.863	39	20.863	3	5	1	2	4	35124	0	1000	876.000	346.000	0	3	5	1	2	4	1350.000	1510.000	1648.000	1858.000	1990.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43020.853	44	20.853	1	4	5	2	3	14523	0	1000	812.000	340.000	0	1	4	5	2	3	1344.000	1482.000	1650.000	1826.000	1972.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.864	49	20.864	1	4	5	2	3	14523	0	1000	850.000	268.000	0	1	4	5	2	3	1272.000	1398.000	1590.000	1782.000	1952.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.874	54	20.874	3	2	4	5	1	32451	0	1000	820.000	370.000	0	3	2	4	5	1	1374.000	1538.000	1636.000	1830.000	1964.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58020.883	59	20.883	3	2	4	5	1	32451	0	1000	794.000	412.000	0	3	2	4	5	1	1416.000	1520.000	1646.000	1844.000	1978.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	1	5	1000	63020.000	63020.865	64	20.865	3	5	1	2	4	35124	0	1000	876.000	474.000	0	3	5	1	2	4	1478.000	1654.000	1818.000	2034.000	2172.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	0	5	1000	68020.000	68020.853	69	20.853	1	3	2	5	4	13254	0	1000	862.000	632.000	0	1	3	2	5	4	1636.000	1822.000	1966.000	2142.000	2284.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.856	74	20.856	1	4	5	2	3	14523	0	1000	778.000	412.000	0	1	4	5	2	3	1416.000	1544.000	1716.000	1884.000	2046.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.878	79	20.878	3	5	1	2	4	35124	0	1000	842.000	398.000	0	3	5	1	2	4	1402.000	1560.000	1694.000	1904.000	2010.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	1	5	1000	83020.000	83020.864	84	20.864	1	3	2	5	4	13254	0	1000	836.000	532.000	0	1	3	2	5	4	1536.000	1706.000	1860.000	2030.000	2164.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	0	5	1000	88020.000	88020.858	89	20.858	1	4	5	2	3	14523	0	16000	824.000	544.000	0	1	4	5	2	3	1548.000	1700.000	1864.000	2032.000	2164.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	0	5	1000	108020.000	108020.864	109	20.864	1	4	5	2	3	14523	0	1000	826.000	598.000	0	1	4	5	2	3	1602.000	1792.000	1976.000	2160.000	2284.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	1	5	1000	113020.000	113020.863	114	20.863	3	5	1	2	4	35124	0	1000	858.000	580.000	0	3	5	1	2	4	1584.000	1726.000	1900.000	2090.000	2204.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	0	5	1000	118020.000	118020.864	119	20.863	3	2	4	5	1	32451	0	1000	812.000	584.000	0	3	2	4	5	1	1588.000	1776.000	1856.000	2062.000	2208.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	0	5	1000	123020.000	123020.854	124	20.854	3	2	4	5	1	32451	0	1000	794.000	688.000	0	3	2	4	5	1	1692.000	1852.000	1940.000	2128.000	2266.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	0	5	1000	128020.000	128020.852	129	20.852	1	4	5	2	3	14523	0	1000	706.000	608.000	0	1	4	5	2	3	1612.000	1724.000	1904.000	2040.000	2158.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	0	5	1000	133020.000	133020.856	134	20.855	3	5	1	2	4	35124	0	1000	714.000	510.000	0	3	5	1	2	4	1514.000	1632.000	1768.000	1946.000	2034.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138020.865	139	20.865	3	2	4	5	1	32451	0	1000	752.000	562.000	0	3	2	4	5	1	1566.000	1714.000	1806.000	1994.000	2098.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143020.864	144	20.864	1	3	2	5	4	13254	0	1000	774.000	484.000	0	1	3	2	5	4	1488.000	1638.000	1772.000	1936.000	2060.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.865	149	20.865	1	4	5	2	3	14523	0	1000	730.000	446.000	0	1	4	5	2	3	1450.000	1558.000	1740.000	1884.000	2006.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	1	5	1000	153020.000	153020.866	154	20.865	3	2	4	5	1	32451	0	1000	848.000	486.000	0	3	2	4	5	1	1490.000	1660.000	1742.000	1912.000	2072.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158020.856	159	20.856	3	2	4	5	1	32451	0	1000	852.000	502.000	0	3	2	4	5	1	1506.000	1668.000	1742.000	1944.000	2100.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	0	5	1000	163020.000	163020.856	164	20.856	3	2	4	5	1	32451	0	1000	800.000	576.000	0	3	2	4	5	1	1580.000	1716.000	1802.000	1980.000	2112.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	0	5	1000	168020.000	168020.866	169	20.865	1	3	2	5	4	13254	0	1000	792.000	602.000	0	1	3	2	5	4	2832.000	2998.000	3150.000	3270.000	3390.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173020.854	174	20.854	1	3	2	5	4	13254	0	1000	780.000	692.000	0	1	3	2	5	4	1696.000	1864.000	2006.000	2156.000	2292.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	0	5	1000	178020.000	178020.859	179	20.859	3	2	4	5	1	32451	0	1000	750.000	514.000	0	3	2	4	5	1	1518.000	1686.000	1758.000	1940.000	2040.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	0	5	1000	183020.000	183020.863	184	20.863	3	5	1	2	4	35124	0	1000	832.000	458.000	0	3	5	1	2	4	1462.000	1604.000	1750.000	1934.000	2030.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	1	5	1000	188020.000	188020.868	189	20.868	3	5	1	2	4	35124	0	16000	792.000	488.000	0	3	5	1	2	4	1492.000	1598.000	1748.000	1962.000	2056.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
