BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8021.963	9	16.001	3	5	1	2	4	35124	0	1000	1524	508	0	3	5	1	2	4	1512	1844	2192	2564	2898	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13020	13021.966	14	14.015	3	5	1	2	4	35124	0	1000	1594	540	0	3	5	1	2	4	1544	1868	2226	2630	2992	6000	5000	1	1	1	1	1	1
1	3	1	5	1000	18020	18020.029	19	12.048	1	4	5	2	3	14523	0	1000	1584	556	0	1	4	5	2	3	1560	1886	2156	2546	2928	6000	5000	1	1	1	1	1	1
1	4	0	5	1000	23020	23022.022	24	12.036	1	4	5	2	3	14523	0	1000	1688	508	0	1	4	5	2	3	1512	1898	2232	2640	3024	6000	5000	1	1	1	1	1	1
1	5	0	5	1000	28020	28021.985	29	10.004	3	5	1	2	4	35124	0	1000	1662	548	0	3	5	1	2	4	1552	1860	2248	2626	3002	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33021.965	34	8.003	1	3	2	5	4	13254	0	1000	1724	426	0	1	3	2	5	4	1430	1798	2188	2524	2918	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38021.964	39	6.001	3	5	1	2	4	35124	0	1000	1464	396	0	3	5	1	2	4	1400	1700	2062	2390	2718	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43020	43021.983	44	4.008	1	4	5	2	3	14523	0	1000	1626	434	0	1	4	5	2	3	1438	1830	2168	2560	2902	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48021.964	49	2.001	3	2	4	5	1	32451	0	1000	1664	438	0	3	2	4	5	1	1442	1800	2210	2544	2908	6000	5000	1	1	1	1	1	1
1	10	1	5	1000	53020	53022.046	54	2.095	1	3	2	5	4	13254	0	1000	1648	406	0	1	3	2	5	4	1410	1836	2202	2542	2968	6000	5000	1	1	1	1	1	1
1	11	1	5	1000	58020	58021.977	59	0	3	5	1	2	4	35124	0	1000	1532	406	0	3	5	1	2	4	1410	1686	2076	2446	2806	6000	5000	1	1	1	1	1	1
1	12	1	5	1000	63020	63021.963	63	997.972	1	3	2	5	4	13254	0	1000	1680	398	0	1	3	2	5	4	1402	1792	2174	2502	2942	6000	5000	1	1	1	1	1	1
1	13	0	5	1000	68020	68021.963	68	995.989	1	3	2	5	4	13254	0	1000	1754	398	0	1	3	2	5	4	1402	1794	2222	2568	2980	6000	5000	1	1	1	1	1	1
1	14	0	5	1000	73020	73021.978	73	993.892	1	4	5	2	3	14523	0	1000	1624	630	0	1	4	5	2	3	1634	2014	2334	2718	3090	6000	5000	1	1	1	1	1	1
1	15	1	5	1000	78020	78022.078	78	992.099	3	5	1	2	4	35124	0	1000	1558	448	0	3	5	1	2	4	1452	1726	2110	2470	2822	6000	5000	1	1	1	1	1	1
1	16	1	5	1000	83020	83021.953	83	991.989	3	2	4	5	1	32451	0	1000	1610	484	0	3	2	4	5	1	1488	1846	2210	2536	2930	6000	5000	1	1	1	1	1	1
1	17	0	5	1000	88020	88021.992	88	990.003	1	3	2	5	4	13254	0	16000	1730	418	0	1	3	2	5	4	1422	1800	2222	2566	2984	6000	5000	1	1	1	1	1	1
1	18	0	5	1000	108020	108021.961	108	982.008	1	3	2	5	4	13254	0	1000	1694	612	0	1	3	2	5	4	1616	2006	2388	2750	3156	6000	5000	1	1	1	1	1	1
1	19	1	5	1000	113020	113021.98	113	980.014	1	3	2	5	4	13254	0	1000	1854	544	0	1	3	2	5	4	1548	1966	2372	2754	3226	6000	5000	1	1	1	1	1	1
1	20	0	5	1000	118020	118021.975	118	980.008	3	5	1	2	4	35124	0	1000	1664	480	0	3	5	1	2	4	1484	1846	2226	2596	2958	6000	5000	1	1	1	1	1	1
1	21	1	5	1000	123020	123022.005	123	977.991	3	5	1	2	4	35124	0	1000	1602	412	0	3	5	1	2	4	1416	1708	2094	2478	2846	6000	5000	1	1	1	1	1	1
1	22	0	5	1000	128020	128021.976	128	976.01	1	3	2	5	4	13254	0	1000	1642	460	0	1	3	2	5	4	1464	1830	2222	2528	2924	6000	5000	1	1	1	1	1	1
1	23	0	5	1000	133020	133021.963	133	973.999	1	3	2	5	4	13254	0	1000	1630	414	0	1	3	2	5	4	1418	1788	2154	2506	2890	6000	5000	1	1	1	1	1	1
1	24	0	5	1000	138020	138021.965	138	972.001	3	5	1	2	4	35124	0	1000	1668	432	0	3	5	1	2	4	1436	1786	2154	2516	2926	6000	5000	1	1	1	1	1	1
1	25	0	5	1000	143020	143021.975	143	970.019	1	4	5	2	3	14523	0	1000	1610	444	0	1	4	5	2	3	1448	1796	2156	2538	2898	6000	5000	1	1	1	1	1	1
1	26	1	5	1000	148020	148021.961	148	967.998	3	2	4	5	1	32451	0	1000	1634	546	0	3	2	4	5	1	1550	1884	2266	2584	2964	6000	5000	1	1	1	1	1	1
1	27	0	5	1000	153020	153021.978	153	967.983	3	2	4	5	1	32451	0	1000	1614	574	0	3	2	4	5	1	1578	1932	2318	2646	3024	6000	5000	1	1	1	1	1	1
