	KEY	NAME	RED	GREEN	BLUE	ALPHA	
	132	label-133	0.000	0.923	0.000	1.000	
	133	label-134	0.000	1.000	0.000	1.000	
	134	label-135	0.000	0.000	0.077	1.000	
	135	label-136	0.000	0.000	0.154	1.000	
	136	label-137	0.000	0.000	0.231	1.000	
	137	label-138	0.000	0.000	0.308	1.000	
	138	label-139	0.000	0.000	0.385	1.000	
	139	label-140	0.000	0.000	0.462	1.000	
	140	label-141	0.000	0.000	0.538	1.000	
	141	label-142	0.000	0.000	0.615	1.000	
	142	label-143	0.000	0.000	0.692	1.000	
	143	label-144	0.000	0.000	0.769	1.000	
	144	label-145	0.000	0.000	0.846	1.000	
	145	label-146	0.000	0.000	0.923	1.000	
	146	label-147	0.000	0.000	1.000	1.000	
	147	label-148	0.000	0.000	0.000	1.000	
	148	label-149	0.071	0.071	0.071	1.000	
	149	label-150	0.143	0.143	0.143	1.000	
	150	label-151	0.214	0.214	0.214	1.000	
	151	label-152	0.286	0.286	0.286	1.000	
	152	label-153	0.357	0.357	0.357	1.000	
	153	label-154	0.429	0.429	0.429	1.000	
	154	label-155	0.500	0.500	0.500	1.000	
	155	label-156	0.571	0.571	0.571	1.000	
	156	label-157	0.643	0.643	0.643	1.000	
	157	label-158	0.714	0.714	0.714	1.000	
	158	label-159	0.786	0.786	0.786	1.000	
	159	label-160	0.857	0.857	0.857	1.000	
	160	label-161	0.929	0.929	0.929	1.000	
	161	label-162	1.000	1.000	1.000	1.000	


